Regi¢n;Proveedor;PA;Nombre;Provincia;Distrito;Corregimiento;Sesiones;Estado
1;C&W Panam†;176;Esc. de San Mateo;Chiriqu°;David;San JosÇ de David;94;Normal
1;C&W Panam†;177;Esc. El Varital;Chiriqu°;David;San JosÇ de David;491;Normal
1;C&W Panam†;178;Esc. Mar°a Olimpia de Obald°a;Chiriqu°;David;San JosÇ de David;202;Normal
1;C&W Panam†;179;Esc. Medalla Milagrosa;Chiriqu°;David;San JosÇ de David;233;Normal
1;C&W Panam†;180;Esc. Nuevo Vedado;Chiriqu°;David;San JosÇ de David;247;Normal
1;C&W Panam†;181;Esc. Nvo. Amanecer;Chiriqu°;David;San JosÇ de David;565;Normal
1;C&W Panam†;182;Escuela Antonio JosÇ de Sucre;Chiriqu°;David;San JosÇ de David;106;Normal
1;C&W Panam†;183;Escuela de los Abanicos;Chiriqu°;David;San JosÇ de David;1473;Normal
1;C&W Panam†;184;Escuela de San Cristobal;Chiriqu°;David;San JosÇ de David;823;Normal
1;C&W Panam†;185;Escuela Loma Colorada;Chiriqu°;David;San JosÇ de David;290;Normal
1;C&W Panam†;186;Francisco Morazan;Chiriqu°;David;San JosÇ de David;221;Normal
1;C&W Panam†;188;I.P.T. Arnulfo Arias M.;Chiriqu°;David;San JosÇ de David;158;Normal
1;C&W Panam†;189;I.P.T. David;Chiriqu°;David;San JosÇ de David;40;Normal
1;C&W Panam†;190;INADEH David;Chiriqu°;David;San JosÇ de David;514;Normal
1;C&W Panam†;191;INADEH-Area de Talleres;Chiriqu°;David;San JosÇ de David;22;Normal
1;C&W Panam†;193;JosÇ Maria Roy;Chiriqu°;David;San JosÇ de David;51;Normal
1;C&W Panam†;194;Mercado P£blico Municipal David;Chiriqu°;David;San JosÇ de David;364;Normal
1;C&W Panam†;195;Municipio de David;Chiriqu°;David;San JosÇ de David;113;Normal
1;C&W Panam†;196;Parque Cervantes de David;Chiriqu°;David;San JosÇ de David;336;Normal
1;C&W Panam†;198;Paseo de la Cultura;Chiriqu°;David;San JosÇ de David;75;Normal
1;C&W Panam†;199;Republica de Francia;Chiriqu°;David;San JosÇ de David;201;Normal
1;C&W Panam†;200;UNACHI ( Universidad Autonoma de Chiriqui);Chiriqu°;David;San JosÇ de David;34;Normal
1;C&W Panam†;201;Valle Alto del R°o;Chiriqu°;David;San JosÇ de David;832;Normal
1;C&W Panam†;202;Esc. El Quite§o;Chiriqu°;David;Las Lomas;921;Normal
1;C&W Panam†;203;Esc. El Valle;Chiriqu°;David;Las Lomas;2177;Normal
1;C&W Panam†;204;Esc. LLano Grande Abajo;Chiriqu°;David;Las Lomas;555;Normal
1;C&W Panam†;205;Esc. Mata del Nance;Chiriqu°;David;Las Lomas;947;Normal
1;C&W Panam†;206;Esc. San JosÇ;Chiriqu°;David;Las Lomas;326;Normal
1;C&W Panam†;207;P.C. Victoriano Lorenzo;Chiriqu°;David;Las Lomas;198;Normal
1;C&W Panam†;208;Parque Llano Arriba;Chiriqu°;David;Las Lomas;523;Normal
1;C&W Panam†;209;ESC. AURA ROSA AGUILAR;Chiriqu°;David;San Carlos;68;Normal
1;C&W Panam†;210;Hospital Materno Infantil;Chiriqu°;David;San Carlos;3799;Normal
1;C&W Panam†;211;Hospital Regional de Chiriqu°;Chiriqu°;David;San Carlos;4309;Normal
1;C&W Panam†;212;Universidad Tecnol¢gica San Carlos;Chiriqu°;David;San Carlos;1;Normal
1;C&W Panam†;213;Esc. Aguacatal;Chiriqu°;David;San Pablo Viejo;192;Normal
1;C&W Panam†;214;Esc. Montilla;Chiriqu°;David;San Pablo Viejo;342;Normal
1;C&W Panam†;215;Esc. San Juan del David;Chiriqu°;David;San Pablo Viejo;396;Normal
1;C&W Panam†;216;Esc. San Pablo Viejo Arriba;Chiriqu°;David;San Pablo Viejo;624;Normal
1;C&W Panam†;218;CEBG Los Algarrobos;Chiriqu°;Dolega;Los Algarrobos;205;Normal
1;C&W Panam†;219;Esc. El Flor;Chiriqu°;Dolega;Los Algarrobos;627;Normal
1;C&W Panam†;220;Municipio de Dolega;Chiriqu°;Dolega;Los Algarrobos;251;Normal
1;C&W Panam†;221;Esc. Las Ca§as.;Chiriqu°;Dolega;Los Algarrobos;2693;Normal
