name,province,district,county,type,lat,long
Cefacei Cerro Venado,Comarca Ngobe Bugle,Muna,Bakama,Cefacei,"8° 13' 45.668"""" N","81° 34' 43.040"""" W"
Cefacei Las Trancas,Comarca Ngobe Bugle,Muna,Cerro Caña,Cefacei,"8° 19' 50.944"""" N","81° 38' 17.552"""" W"
Cefacei Cerro Caña,Comarca Ngobe Bugle,Muna,Cerro Caña,Cefacei,"8° 21' 23.890"""" N","81° 37' 30.750"""" W"
Cefacei Tebujo,Comarca Ngobe Bugle,Muna,Maraca,Cefacei,"8° 23' 39.315"""" N","81° 43' 32.453"""" W"
Cefacei Hato Chamí,Comarca Ngobe Bugle,Nole Duima,Hato Chamí,Cefacei,"8° 26' 58.487"""" N","81° 46' 17.938"""" W"
Cefacei Llano Macano,Comarca Ngobe Bugle,Muna,Nibra,Cefacei,"8° 16' 56.574"""" N","81° 32' 53.010"""" W"
Cefacei Buenos Aires,Comarca Ngobe Bugle,Muna,Sitio Prado,Cefacei,"8° 24' 16.775"""" N","81° 35' 50.827"""" W"
Cefacei Qda. Arenas,Comarca Ngobe Bugle,Muna,Umaní,Cefacei,"8° 18' 23.231"""" N","81° 43' 16.029"""" W"
Esc. Cerro Miel,Comarca Ngobe Bugle,Muna,Peña Blanca,Primaria Oficial,"8° 26' 12.622"""" N","81° 40' 7.581"""" W"
Esc. Cerro Banco,Comarca Ngobe Bugle,Muna,Cerro Puerco,Primaria Oficial,"8° 22' 57.048"""" N","81° 46' 22.497"""" W"
Cefacei Cerro Miel,Comarca Ngobe Bugle,Muna,Peña Blanca,Cefacei,"8° 26' 13.135"""" N","81° 40' 7.555"""" W"
Esc. Cab. Ullama,Comarca Ngobe Bugle,Besiko,Camarón Arriba,Primaria Oficial,"8° 25' 25.594"""" N","81° 57' 32.181"""" W"
Esc. Punta Escondida,Comarca Ngobe Bugle,Kusapin,Tobobe,Primaria Oficial,"9° 5' 17.665"""" N","81° 49' 54.425"""" W"
Esc. San Pedrito,Comarca Ngobe Bugle,Kusapin,Rio Chiriqui,Primaria Oficial,"8° 48' 1.768"""" N","81° 30' 11.781"""" W"
Esc. Bahía Ballena,Comarca Ngobe Bugle,Kankintu,Guariviara,Primaria Oficial,"8° 55' 22.883"""" N","82° 4' 38.594"""" W"
Esc. Guacamayo,Comarca Ngobe Bugle,Kusapin,Valle Bonito,Primaria Oficial,"8° 39' 42.387"""" N","81° 16' 23.014"""" W"
Esc. Buena Vista,Comarca Ngobe Bugle,Kusapin,Bahía Azul,Primaria Oficial,"9° 5' 41.696"""" N","81° 52' 57.104"""" W"
Esc. Alto del Valle,Comarca Ngobe Bugle,Kankintu,Burí,Primaria Oficial,"8° 48' 30.110"""" N","82° 10' 41.314"""" W"
Esc. Malí,Comarca Ngobe Bugle,Kankintu,Burí,Primaria Oficial,"8° 51' 4.644"""" N","82° 10' 53.069"""" W"
Esc. Sta. Catalina,Comarca Ngobe Bugle,Kusapin,Calovébora o Santa Catalina,Primaria Oficial,"8° 47' 3.486"""" N","81° 19' 45.303"""" W"
Esc. Cahuita,Comarca Ngobe Bugle,Kusapin,Calovébora o Santa Catalina,Primaria Oficial,"8° 47' 27.099"""" N","81° 16' 59.049"""" W"
Esc. Chúcara,Comarca Ngobe Bugle,Kusapin,Calovébora o Santa Catalina,Primaria Oficial,"8° 47' 7.374"""" N","81° 23' 36.762"""" W"
Esc. Alto Cuay,Comarca Ngobe Bugle,Kusapin,Calovébora o Santa Catalina,Primaria Oficial,"8° 41' 23.613"""" N","81° 13' 22.368"""" W"
Esc. Rio Grande *,Comarca Ngobe Bugle,Kusapin,Valle Bonito,Primaria Oficial,"8° 38' 53.476"""" N","81° 13' 41.513"""" W"
Esc. Loma Yuca *,Comarca Ngobe Bugle,Kusapin,Loma Yuca,Primaria Oficial,"8° 43' 14.101"""" N","81° 23' 59.641"""" W"
Esc. Oriente,Comarca Ngobe Bugle,Kankintu,Burí,Primaria Oficial,"8° 53' 23.358"""" N","82° 13' 18.503"""" W"
Esc. Pueblo Nuevo,Comarca Ngobe Bugle,Kankintu,Burí,Primaria Oficial,"8° 53' 4.111"""" N","82° 12' 14.095"""" W"
Esc. Filo Verde,Comarca Ngobe Bugle,Kankintu,Tuwai,Primaria Oficial,"9° 0' 53.691"""" N","82° 20' 2.011"""" W"
Esc. Dos Bocas,Comarca Ngobe Bugle,Kankintu,Tuwai,Primaria Oficial,"9° 6' 36.408"""" N","82° 21' 25.372"""" W"
Esc. Cilico Creek,Comarca Ngobe Bugle,Kankintu,Tuwai,Primaria Oficial,"9° 3' 3.297"""" N","82° 18' 32.662"""" W"
Esc. Kusapin,Comarca Ngobe Bugle,Kusapin,Kusapin,Primaria Oficial,"9° 10' 54.763"""" N","81° 53' 10.617"""" W"
Esc. Cayo Paloma,Comarca Ngobe Bugle,Kusapin,Kusapin,Primaria Oficial,"9° 8' 6.886"""" N","81° 50' 25.435"""" W"
Esc. Playa Lorenzo No. 1,Comarca Ngobe Bugle,Kusapin,Bahía Azul,Primaria Oficial,"9° 4' 6.678"""" N","81° 51' 40.307"""" W"
Esc. Bahía Azul,Comarca Ngobe Bugle,Kusapin,Bahía Azul,Primaria Oficial,"9° 8' 19.176"""" N","81° 53' 34.293"""" W"
Esc. Tobobe,Comarca Ngobe Bugle,Kusapin,Tobobe,Primaria Oficial,"9° 7' 15.097"""" N","81° 49' 46.652"""" W"
Esc. Rio Caña,Comarca Ngobe Bugle,Kusapin,Tobobe,Primaria Oficial,"9° 0' 47.039"""" N","81° 42' 58.559"""" W"
Esc. Rio Caña Arriba,Comarca Ngobe Bugle,Kusapin,Tobobe,Primaria Oficial,"8° 51' 2.425"""" N","81° 42' 9.998"""" W"
Esc. Rio Chiriqui,Comarca Ngobe Bugle,Kusapin,Rio Chiriqui,Primaria Oficial,"8° 50' 19.311"""" N","81° 33' 52.721"""" W"
Esc. Veracruz o Vegay,Comarca Ngobe Bugle,Kusapin,Rio Chiriqui,Primaria Oficial,"8° 47' 56.962"""" N","81° 36' 43.067"""" W"
Esc. Kully,Comarca Ngobe Bugle,Kusapin,Rio Chiriqui,Primaria Oficial,"8° 48' 30.223"""" N","81° 39' 25.640"""" W"
Esc. Loma Verde,Comarca Ngobe Bugle,Kusapin,Rio Chiriqui,Primaria Oficial,"8° 46' 30.118"""" N","81° 35' 37.643"""" W"
Esc. Boca del Rio Cricamola,Comarca Ngobe Bugle,Kankintu,Bisira (Cab.),Primaria Oficial,"8° 58' 36.282"""" N","81° 55' 40.034"""" W"
Esc. Catavela,Comarca Ngobe Bugle,Kankintu,Bisira (Cab.),Primaria Oficial,"8° 53' 51.871"""" N","81° 47' 26.603"""" W"
Esc. Bisira,Comarca Ngobe Bugle,Kankintu,Bisira (Cab.),Primaria Oficial,"8° 54' 4.892"""" N","81° 51' 48.137"""" W"
Esc. Nutivi,Comarca Ngobe Bugle,Kankintu,Kankintu,Primaria Oficial,"8° 52' 8.424"""" N","81° 50' 35.132"""" W"
Esc. Kankintu,Comarca Ngobe Bugle,Kankintu,Kankintu,Primaria Oficial,"8° 50' 45.071"""" N","81° 49' 16.549"""" W"
Esc. Calante,Comarca Ngobe Bugle,Kankintu,Kankintu,Primaria Oficial,"8° 48' 55.424"""" N","81° 54' 45.350"""" W"
Esc. Cerro Ñeque,Comarca Ngobe Bugle,Kankintu,Guariviara,Primaria Oficial,"8° 52' 3.168"""" N","81° 55' 9.355"""" W"
Esc. Coclesito,Comarca Ngobe Bugle,Kankintu,Guariviara,Primaria Oficial,"8° 45' 58.655"""" N","81° 58' 59.632"""" W"
Esc. Dudori,Comarca Ngobe Bugle,Kankintu,Guariviara,Primaria Oficial,"8° 52' 16.833"""" N","81° 57' 49.923"""" W"
Esc. Qda. Cayuco,Comarca Ngobe Bugle,Kankintu,Guariviara,Primaria Oficial,"8° 49' 18.358"""" N","82° 0' 37.164"""" W"
Esc. Guariviara,Comarca Ngobe Bugle,Kankintu,Guariviara,Primaria Oficial,"8° 50' 21.849"""" N","81° 59' 43.770"""" W"
Esc. Pueblo Mesa,Comarca Ngobe Bugle,Kankintu,Guariviara,Primaria Oficial,"8° 51' 26.516"""" N","82° 7' 4.385"""" W"
Esc. Pumona o Man Creek,Comarca Ngobe Bugle,Kankintu,Guariviara,Primaria Oficial,"8° 54' 10.894"""" N","82° 3' 27.895"""" W"
Esc. Centro Daira,Comarca Ngobe Bugle,Kankintu,Guariviara,Primaria Oficial,"8° 51' 57.237"""" N","82° 2' 49.993"""" W"
Esc. Qda. Venado,Comarca Ngobe Bugle,Kankintu,Guariviara,Primaria Oficial,"8° 44' 54.796"""" N","81° 59' 22.484"""" W"
Esc. Mutari,Comarca Ngobe Bugle,Kankintu,Guoroní,Primaria Oficial,"8° 42' 33.599"""" N","81° 47' 48.356"""" W"
Esc. Curonte,Comarca Ngobe Bugle,Kankintu,Guoroní,Primaria Oficial,"8° 40' 38.119"""" N","81° 46' 57.325"""" W"
Esc. Qda. Mironí,Comarca Ngobe Bugle,Kankintu,Mununí,Primaria Oficial,"8° 33' 14.759"""" N","81° 43' 46.817"""" W"
Esc. Trinchera,Comarca Ngobe Bugle,Kankintu,Mununí,Primaria Oficial,"8° 30' 55.371"""" N","81° 42' 28.594"""" W"
Esc. Piedra Roja,Comarca Ngobe Bugle,Kankintu,Piedra Roja,Primaria Oficial,"8° 33' 36.705"""" N","81° 45' 4.575"""" W"
Esc. Rio Zuiche,Comarca Ngobe Bugle,Kankintu,Piedra Roja,Primaria Oficial,"8° 31' 34.393"""" N","81° 47' 7.074"""" W"
Esc. Ubambiti,Comarca Ngobe Bugle,Kankintu,Mununí,Primaria Oficial,"8° 34' 15.017"""" N","81° 44' 30.406"""" W"
Esc. Sirote,Comarca Ngobe Bugle,Kankintu,Piedra Roja,Primaria Oficial,"8° 36' 16.024"""" N","81° 45' 17.787"""" W"
Esc. Alto de Jesus,Comarca Ngobe Bugle,Ñurum,Alto de Jesus,Primaria Oficial,"8° 16' 1.503"""" N","81° 29' 7.621"""" W"
Esc. Las Huacas,Comarca Ngobe Bugle,Ñurum,Cerro Pelado,Primaria Oficial,"8° 10' 44.255"""" N","81° 30' 53.725"""" W"
Esc. Cerro Pelado,Comarca Ngobe Bugle,Ñurum,Cerro Pelado,Primaria Oficial,"8° 9' 45.828"""" N","81° 32' 37.548"""" W"
Esc. Cañazal,Comarca Ngobe Bugle,Ñurum,Cerro Pelado,Primaria Oficial,"8° 10' 17.868"""" N","81° 34' 43.755"""" W"
Esc. Las Mesitas,Comarca Ngobe Bugle,Ñurum,Cerro Pelado,Primaria Oficial,"8° 9' 19.646"""" N","81° 30' 56.417"""" W"
Esc. Boca de Balsa,Comarca Ngobe Bugle,Besiko,Boca de Balsa,Primaria Oficial,"8° 31' 51.672"""" N","82° 2' 4.454"""" W"
Esc. Soloy,Comarca Ngobe Bugle,Besiko,Soloy (Cab.),Primaria Oficial,"8° 30' 0.633"""" N","82° 4' 12.364"""" W"
Esc. Carlos E. Marccuci,Comarca Ngobe Bugle,Besiko,Cerro Banco,Primaria Oficial,"8° 27' 34.706"""" N","82° 1' 55.528"""" W"
Esc. Cerro Balso,Comarca Ngobe Bugle,Besiko,Cerro de Patena,Primaria Oficial,"8° 28' 48.084"""" N","81° 56' 53.397"""" W"
Esc. Plan de Chorcha,Comarca Ngobe Bugle,Besiko,Emplanada de Chorcha,Primaria Oficial,"8° 27' 54.007"""" N","82° 9' 54.320"""" W"
Esc. Chorchita,Comarca Ngobe Bugle,Besiko,Emplanada de Chorcha,Primaria Oficial,"8° 29' 13.610"""" N","82° 9' 58.303"""" W"
Esc. Junta Maní,Comarca Ngobe Bugle,Besiko,Emplanada de Chorcha,Primaria Oficial,"8° 33' 5.951"""" N","82° 8' 34.695"""" W"
Esc. Cerro Patena,Comarca Ngobe Bugle,Besiko,Cerro de Patena,Primaria Oficial,"8° 24' 39.602"""" N","81° 56' 0.305"""" W"
Esc. Cerro Guásimo,Comarca Ngobe Bugle,Besiko,Niba,Primaria Oficial,"8° 29' 13.397"""" N","81° 55' 18.694"""" W"
Esc. Camarón Arriba,Comarca Ngobe Bugle,Besiko,Camarón Arriba,Primaria Oficial,"8° 22' 51.687"""" N","82° 0' 13.545"""" W"
Esc. Lajero,Comarca Ngobe Bugle,Besiko,Nämnoni,Primaria Oficial,"8° 22' 41.429"""" N","81° 58' 4.866"""" W"
Esc. Boca de Sagui,Comarca Ngobe Bugle,Besiko,Niba,Primaria Oficial,"8° 33' 19.545"""" N","81° 58' 57.874"""" W"
Esc. Chube,Comarca Ngobe Bugle,Besiko,Niba,Primaria Oficial,"8° 32' 3.631"""" N","81° 56' 39.747"""" W"
Esc. Querima,Comarca Ngobe Bugle,Mirono,Hato Pilón (Cab.),Primaria Oficial,"8° 21' 7.383"""" N","81° 49' 19.518"""" W"
Esc. Hato Pilón,Comarca Ngobe Bugle,Mirono,Hato Pilón (Cab.),Primaria Oficial,"8° 23' 56.605"""" N","81° 51' 55.141"""" W"
Esc. Cascabel,Comarca Ngobe Bugle,Mirono,Cascabel,Primaria Oficial,"8° 31' 28.502"""" N","81° 52' 32.386"""" W"
Esc. Hato Corotú,Comarca Ngobe Bugle,Mirono,Hato Corotú,Primaria Oficial,"8° 19' 31.127"""" N","81° 58' 27.443"""" W"
Esc. Cerro Otoe,Comarca Ngobe Bugle,Mirono,Hato Culantro,Primaria Oficial,"8° 26' 32.969"""" N","81° 52' 44.113"""" W"
Esc. Hato Jobo,Comarca Ngobe Bugle,Mirono,Hato Jobo,Primaria Oficial,"8° 23' 38.470"""" N","81° 53' 20.864"""" W"
Esc. Caboy,Comarca Ngobe Bugle,Mirono,Hato Jobo,Primaria Oficial,"8° 23' 38.989"""" N","81° 54' 57.821"""" W"
Esc. Hato Juli,Comarca Ngobe Bugle,Mirono,Hato Julí,Primaria Oficial,"8° 21' 8.103"""" N","81° 50' 52.545"""" W"
Esc. Qda. de Loro,Comarca Ngobe Bugle,Mirono,Quebrada de Loro,Primaria Oficial,"8° 21' 17.369"""" N","81° 55' 13.037"""" W"
Esc. Cerro Brisa,Comarca Ngobe Bugle,Mirono,Quebrada de Loro,Primaria Oficial,"8° 19' 54.052"""" N","81° 56' 2.091"""" W"
Esc. Hato Dupi,Comarca Ngobe Bugle,Mirono,Salto Dupí,Primaria Oficial,"8° 21' 0.399"""" N","81° 53' 14.190"""" W"
Esc. Qda. Otoe,Comarca Ngobe Bugle,Mirono,Salto Dupí,Primaria Oficial,"8° 19' 52.041"""" N","81° 53' 29.077"""" W"
Esc. Chichica,Comarca Ngobe Bugle,Muna,Chichica (Cab.),Primaria Oficial,"8° 21' 59.469"""" N","81° 40' 8.214"""" W"
Esc. Cerro Algodón,Comarca Ngobe Bugle,Muna,Chichica (Cab.),Primaria Oficial,"8° 21' 9.273"""" N","81° 38' 34.966"""" W"
Esc. Portorrica,Comarca Ngobe Bugle,Muna,Chichica (Cab.),Primaria Oficial,"8° 23' 2.596"""" N","81° 41' 19.763"""" W"
Esc. Llano Palma,Comarca Ngobe Bugle,Muna,Chichica (Cab.),Primaria Oficial,"8° 24' 23.721"""" N","81° 39' 23.719"""" W"
Esc. Alto Caballero,Comarca Ngobe Bugle,Muna,Alto Caballero,Primaria Oficial,"8° 17' 43.481"""" N","81° 40' 26.452"""" W"
Esc. Cerro Mosquito,Comarca Ngobe Bugle,Muna,Alto Caballero,Primaria Oficial,"8° 21' 12.704"""" N","81° 41' 17.374"""" W"
Esc. Cerro Venado,Comarca Ngobe Bugle,Muna,Bakama,Primaria Oficial,"8° 13' 45.327"""" N","81° 34' 42.684"""" W"
Esc. Las Trancas,Comarca Ngobe Bugle,Muna,Cerro Caña,Primaria Oficial,"8° 19' 51.445"""" N","81° 38' 17.470"""" W"
Esc. Cerro Caña,Comarca Ngobe Bugle,Muna,Cerro Caña,Primaria Oficial,"8° 21' 23.621"""" N","81° 37' 31.079"""" W"
Esc. Cerro Puerco,Comarca Ngobe Bugle,Muna,Cerro Puerco,Primaria Oficial,"8° 17' 56.303"""" N","81° 45' 0.235"""" W"
Esc. Cerro Ceniza,Comarca Ngobe Bugle,Muna,Cerro Puerco,Primaria Oficial,"8° 20' 11.590"""" N","81° 45' 34.348"""" W"
Esc. LLano Junco,Comarca Ngobe Bugle,Muna,Cerro Puerco,Primaria Oficial,"8° 21' 40.979"""" N","81° 45' 4.741"""" W"
Esc. Cerro Ortiga,Comarca Ngobe Bugle,Muna,Cerro Puerco,Primaria Oficial,"8° 21' 58.221"""" N","81° 46' 30.545"""" W"
Esc. Cerro Plata,Comarca Ngobe Bugle,Muna,Krüa,Primaria Oficial,"8° 28' 49.209"""" N","81° 32' 39.414"""" W"
Esc. Alto Balsa,Comarca Ngobe Bugle,Muna,Krüa,Primaria Oficial,"8° 32' 38.265"""" N","81° 31' 30.145"""" W"
Esc. Peña Prieta,Comarca Ngobe Bugle,Muna,Maraca,Primaria Oficial,"8° 22' 15.831"""" N","81° 43' 16.689"""" W"
Esc. Cerro Cacicón,Comarca Ngobe Bugle,Muna,Maraca,Primaria Oficial,"8° 20' 56.688"""" N","81° 42' 39.525"""" W"
Esc. Tebujo,Comarca Ngobe Bugle,Muna,Maraca,Primaria Oficial,"8° 23' 39.573"""" N","81° 43' 32.645"""" W"
Esc. LLano Majagua,Comarca Ngobe Bugle,Muna,Maraca,Primaria Oficial,"8° 22' 39.047"""" N","81° 43' 37.012"""" W"
Esc. Hato Chami,Comarca Ngobe Bugle,Nole Duima,Hato Chamí,Primaria Oficial,"8° 26' 58.833"""" N","81° 46' 18.157"""" W"
Esc. Cerro Maíz,Comarca Ngobe Bugle,Muna,Nibra,Primaria Oficial,"8° 17' 2.985"""" N","81° 34' 54.026"""" W"
Esc. Cerro Vaca,Comarca Ngobe Bugle,Muna,Nibra,Primaria Oficial,"8° 19' 12.776"""" N","81° 33' 56.924"""" W"
Esc. Llano Macano,Comarca Ngobe Bugle,Muna,Nibra,Primaria Oficial,"8° 16' 56.252"""" N","81° 32' 53.367"""" W"
Esc. Sitio Prado,Comarca Ngobe Bugle,Muna,Sitio Prado,Primaria Oficial,"8° 22' 24.982"""" N","81° 34' 48.122"""" W"
Esc. Cerro Papayo,Comarca Ngobe Bugle,Muna,Sitio Prado,Primaria Oficial,"8° 23' 13.823"""" N","81° 35' 51.760"""" W"
Esc. Buenos Aires,Comarca Ngobe Bugle,Muna,Sitio Prado,Primaria Oficial,"8° 24' 16.756"""" N","81° 35' 50.799"""" W"
Esc. Nuevo San Cristóbal,Comarca Ngobe Bugle,Muna,Sitio Prado,Primaria Oficial,"8° 25' 13.358"""" N","81° 33' 39.016"""" W"
Esc. Peña Blanca,Comarca Ngobe Bugle,Muna,Peña Blanca,Primaria Oficial,"8° 28' 16.843"""" N","81° 41' 15.560"""" W"
Esc. Cerro Salitre,Comarca Ngobe Bugle,Muna,Peña Blanca,Primaria Oficial,"8° 26' 27.289"""" N","81° 43' 22.208"""" W"
Esc. Alto Cienaga,Comarca Ngobe Bugle,Muna,Peña Blanca,Primaria Oficial,"8° 27' 8.166"""" N","81° 38' 53.175"""" W"
Esc. Cerro Venado,Comarca Ngobe Bugle,Muna,Peña Blanca,Primaria Oficial,"8° 30' 11.621"""" N","81° 39' 51.926"""" W"
Esc. Llano Ñopo,Comarca Ngobe Bugle,Muna,Roka,Primaria Oficial,"8° 25' 28.393"""" N","81° 36' 52.572"""" W"
Esc. Cerro Javillo,Comarca Ngobe Bugle,Muna,Roka,Primaria Oficial,"8° 28' 0.173"""" N","81° 35' 44.922"""" W"
Esc. Guamaya,Comarca Ngobe Bugle,Muna,Roka,Primaria Oficial,"8° 31' 14.179"""" N","81° 35' 50.223"""" W"
Esc. Palma Gira,Comarca Ngobe Bugle,Muna,Umaní,Primaria Oficial,"8° 17' 15.216"""" N","81° 44' 0.716"""" W"
Esc. Qda. Arenas,Comarca Ngobe Bugle,Muna,Umaní,Primaria Oficial,"8° 18' 22.661"""" N","81° 43' 15.836"""" W"
Esc. Cerro Iglesias,Comarca Ngobe Bugle,Nole Duima,Cerro Iglesias (Cab.),Primaria Oficial,"8° 17' 20.664"""" N","81° 47' 51.982"""" W"
Esc. Calabazal,Comarca Ngobe Bugle,Nole Duima,Cerro Iglesias (Cab.),Primaria Oficial,"8° 16' 55.087"""" N","81° 49' 3.807"""" W"
Esc. Lajero Arriba,Comarca Ngobe Bugle,Nole Duima,Lajero,Primaria Oficial,"8° 17' 25.706"""" N","81° 46' 12.197"""" W"
Esc. Ola,Comarca Ngobe Bugle,Nole Duima,Lajero,Primaria Oficial,"8° 16' 16.453"""" N","81° 44' 37.522"""" W"
Esc. Caracol,Comarca Ngobe Bugle,Nole Duima,Hato Chamí,Primaria Oficial,"8° 25' 15.918"""" N","81° 47' 59.454"""" W"
Esc. José Sabino Bonilla,Comarca Ngobe Bugle,Nole Duima,Susama,Primaria Oficial,"8° 22' 13.367"""" N","81° 47' 7.020"""" W"
Esc. El Chumico,Comarca Ngobe Bugle,Ñurum,Buenos Aires (Cab.),Primaria Oficial,"8° 24' 17.570"""" N","81° 30' 13.815"""" W"
Esc. Buenos Aires,Comarca Ngobe Bugle,Ñurum,Buenos Aires (Cab.),Primaria Oficial,"8° 24' 52.499"""" N","81° 28' 50.345"""" W"
Esc. Cabuya,Comarca Ngobe Bugle,Ñurum,Buenos Aires (Cab.),Primaria Oficial,"8° 27' 10.347"""" N","81° 28' 31.228"""" W"
Esc. Tierra Blanca,Comarca Ngobe Bugle,Ñurum,Buenos Aires (Cab.),Primaria Oficial,"8° 28' 41.850"""" N","81° 28' 33.591"""" W"
Esc. Agua de Salud,Comarca Ngobe Bugle,Ñurum,Agua de Salud,Primaria Oficial,"8° 30' 26.010"""" N","81° 27' 44.838"""" W"
Esc. Batata,Comarca Ngobe Bugle,Ñurum,Agua de Salud,Primaria Oficial,"8° 30' 21.558"""" N","81° 26' 48.725"""" W"
Esc. El Peñón,Comarca Ngobe Bugle,Ñurum,Agua de Salud,Primaria Oficial,"8° 27' 9.986"""" N","81° 25' 6.577"""" W"
Esc. El Jacinto *,Comarca Ngobe Bugle,Ñurum,Agua de Salud,Primaria Oficial,"8° 25' 21.553"""" N","81° 28' 1.372"""" W"
Esc. El Bale,Comarca Ngobe Bugle,Ñurum,El Bale,Primaria Oficial,"8° 20' 49.883"""" N","81° 22' 12.688"""" W"
Esc. Vitoral,Comarca Ngobe Bugle,Ñurum,Guayabito,Primaria Oficial,"8° 32' 24.523"""" N","81° 28' 50.757"""" W"
Esc. Filipinas,Comarca Ngobe Bugle,Ñurum,Guayabito,Primaria Oficial,"8° 30' 17.630"""" N","81° 30' 41.446"""" W"
Esc. Cab. de San Pablo,Comarca Ngobe Bugle,Ñurum,Güibale,Primaria Oficial,"8° 30' 52.352"""" N","81° 21' 35.993"""" W"
Esc. Virigua,Comarca Ngobe Bugle,Ñurum,Güibale,Primaria Oficial,"8° 28' 44.175"""" N","81° 22' 26.064"""" W"
Esc. Chalite,Comarca Ngobe Bugle,Kankintu,Guariviara,Primaria Oficial,"8° 52' 29.246"""" N","82° 1' 28.307"""" W"
Esc. Boca de Rio Guariviara,Comarca Ngobe Bugle,Kankintu,Guariviara,Primaria Oficial,"8° 56' 12.695"""" N","81° 58' 35.626"""" W"
Esc. Boca de Rio Grande,Comarca Ngobe Bugle,Kusapin,Rio Chiriqui,Primaria Oficial,"8° 49' 30.558"""" N","81° 32' 52.405"""" W"
Esc. El Mango,Comarca Ngobe Bugle,Kusapin,Rio Chiriqui,Primaria Oficial,"8° 48' 8.766"""" N","81° 32' 34.414"""" W"
Esc. Llano Camarón,Comarca Ngobe Bugle,Muna,Krüa,Primaria Oficial,"8° 29' 53.389"""" N","81° 31' 37.286"""" W"
Esc. Hato Común,Comarca Ngobe Bugle,Muna,Krüa,Primaria Oficial,"8° 32' 45.944"""" N","81° 34' 22.604"""" W"
Esc. Alto Grillo,Comarca Ngobe Bugle,Muna,Krüa,Primaria Oficial,"8° 28' 53.370"""" N","81° 34' 48.479"""" W"
Esc. Boca de Ullama,Comarca Ngobe Bugle,Besiko,Cerro Banco,Primaria Oficial,"8° 25' 32.073"""" N","81° 59' 26.220"""" W"
Esc. LLano Tugrí,Comarca Ngobe Bugle,Muna,Peña Blanca,Primaria Oficial,"8° 28' 44.240"""" N","81° 42' 35.954"""" W"
Esc. Qda. Guabo,Comarca Ngobe Bugle,Nole Duima,Susama,Primaria Oficial,"8° 19' 52.421"""" N","81° 49' 50.774"""" W"
Esc. Qda. Cianca,Comarca Ngobe Bugle,Mirono,Hato Pilón (Cab.),Primaria Oficial,"8° 22' 26.100"""" N","81° 50' 26.179"""" W"
Esc. Boca de Remedios,Comarca Ngobe Bugle,Besiko,Boca de Balsa,Primaria Oficial,"8° 34' 12.006"""" N","82° 2' 27.114"""" W"
Esc. Dobary,Comarca Ngobe Bugle,Kusapin,Tobobe,Primaria Oficial,"8° 48' 2.760"""" N","81° 44' 24.445"""" W"
Esc. Bucorí,Comarca Ngobe Bugle,Kusapin,Bahía Azul,Primaria Oficial,"9° 6' 47.601"""" N","81° 54' 6.621"""" W"
Esc. Palo Verde *,Comarca Ngobe Bugle,Ñurum,Agua de Salud,Primaria Oficial,"8° 25' 46.255"""" N","81° 25' 5.616"""" W"
Esc. Cerro Teta,Comarca Ngobe Bugle,Muna,Sitio Prado,Primaria Oficial,"8° 22' 4.258"""" N","81° 33' 34.759"""" W"
Esc. Rio Piedra *,Comarca Ngobe Bugle,Santa Fe,Rio Luis,Primaria Oficial,"8° 33' 35.938"""" N","81° 11' 33.409"""" W"
Esc. El Terrón,Comarca Ngobe Bugle,Kusapin,Calovébora o Santa Catalina,Primaria Oficial,"8° 43' 23.279"""" N","81° 13' 26.680"""" W"
Esc. Rio Viento,Comarca Ngobe Bugle,Kusapin,Tobobe,Primaria Oficial,"8° 51' 26.699"""" N","81° 45' 7.870"""" W"
Esc. Playa Verde,Comarca Ngobe Bugle,Kusapin,Bahía Azul,Primaria Oficial,"9° 8' 4.095"""" N","81° 56' 15.163"""" W"
Esc. El Piro No 2,Comarca Ngobe Bugle,Ñurum,Buenos Aires (Cab.),Primaria Oficial,"8° 24' 29.226"""" N","81° 31' 26.436"""" W"
Esc. Cab. de Virigua,Comarca Ngobe Bugle,Ñurum,Güibale,Primaria Oficial,"8° 30' 51.535"""" N","81° 24' 18.594"""" W"
Esc. Qda. Jagua,Comarca Ngobe Bugle,Ñurum,Buenos Aires (Cab.),Primaria Oficial,"8° 26' 50.099"""" N","81° 30' 52.928"""" W"
Esc. Qda. Plata,Comarca Ngobe Bugle,Muna,Umaní,Primaria Oficial,"8° 20' 14.094"""" N","81° 43' 41.957"""" W"
Esc. Pomanquearé,Comarca Ngobe Bugle,Kankintu,Kankintu,Primaria Oficial,"8° 51' 46.883"""" N","81° 51' 34.622"""" W"
Esc. Cerro Miel,Comarca Ngobe Bugle,Besiko,Soloy (Cab.),Primaria Oficial,"8° 31' 6.971"""" N","82° 5' 17.788"""" W"
Esc. Cerro Gavilán,Comarca Ngobe Bugle,Muna,Peña Blanca,Primaria Oficial,"8° 24' 58.069"""" N","81° 41' 51.734"""" W"
Esc. Odobate,Comarca Ngobe Bugle,Kankintu,Kankintu,Primaria Oficial,"8° 48' 45.743"""" N","81° 51' 1.692"""" W"
Esc. Omar Torrijos H.,Comarca Ngobe Bugle,Kankintu,Piedra Roja,Primaria Oficial,"8° 32' 53.583"""" N","81° 46' 1.403"""" W"
Esc. Sineti,Comarca Ngobe Bugle,Kankintu,Mununí,Primaria Oficial,"8° 32' 19.268"""" N","81° 42' 55.703"""" W"
Esc. Escobal,Comarca Ngobe Bugle,Besiko,Camarón Arriba,Primaria Oficial,"8° 24' 56.356"""" N","82° 0' 10.442"""" W"
