name,province,district,county,type,lat,long
Esc. El Rascador,Herrera,Ocu,Cerro Largo,Primaria Oficial,"7° 48' 9.466"""" N","80° 52' 37.982"""" W"
Esc. El Zapotal,Herrera,Ocu,Cerro Largo,Primaria Oficial,"7° 48' 43.939"""" N","80° 53' 28.603"""" W"
Esc. El Pájaro,Herrera,Ocu,Cerro Largo,Primaria Oficial,"7° 50' 10.073"""" N","80° 51' 29.893"""" W"
Esc. El Entradero de Angulo,Herrera,Ocu,Cerro Largo,Primaria Oficial,"7° 51' 8.465"""" N","80° 51' 1.383"""" W"
Esc. Los Asientos,Herrera,Ocu,Cerro Largo,Primaria Oficial,"7° 53' 18.489"""" N","80° 50' 5.516"""" W"
Esc. El Bejucal,Herrera,Ocu,Cerro Largo,Primaria Oficial,"7° 50' 16.955"""" N","80° 48' 6.450"""" W"
Esc. El Guarumal,Herrera,Ocu,Cerro Largo,Primaria Oficial,"7° 50' 8.294"""" N","80° 46' 19.249"""" W"
Esc. Las Cuchillas,Herrera,Las Minas,Las Minas (Cab.),Primaria Oficial,"7° 49' 13.163"""" N","80° 42' 16.255"""" W"
Esc. Los Pintos,Herrera,Las Minas,Las Minas (Cab.),Primaria Oficial,"7° 46' 20.313"""" N","80° 41' 55.572"""" W"
Esc. Calidonia,Herrera,Las Minas,Las Minas (Cab.),Primaria Oficial,"7° 46' 17.339"""" N","80° 45' 17.808"""" W"
Esc. Chumical,Herrera,Las Minas,Chumical,Primaria Oficial,"7° 50' 53.757"""" N","80° 44' 10.213"""" W"
Esc. Qda. del Rosario Arriba,Herrera,Las Minas,Quebrada del Rosario,Primaria Oficial,"7° 43' 11.705"""" N","80° 44' 12.244"""" W"
Esc. El Nanzal,Herrera,Las Minas,Quebrada del Rosario,Primaria Oficial,"7° 44' 36.682"""" N","80° 43' 25.993"""" W"
Esc. Qda. Las Yescas,Herrera,Las Minas,Quebrada del Rosario,Primaria Oficial,"7° 43' 59.166"""" N","80° 42' 36.965"""" W"
Esc. El Copé,Herrera,Las Minas,Quebrada del Rosario,Primaria Oficial,"7° 41' 49.774"""" N","80° 43' 57.523"""" W"
Esc. Loma del Ranchito,Herrera,Las Minas,Quebrada del Rosario,Primaria Oficial,"7° 40' 52.910"""" N","80° 45' 6.627"""" W"
